Species_ID	Gene_ID	Group	Annotation	Main_catalytic_domain_(Pssm-ID)	Additional_domains_(Pssm-ID)	Notes
Medu	CAG2252366.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mgal	VDI42071.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mmer	XP_045156965.2	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mphi	scaf.30477.1.9	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Obim	XP_052832484.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Osin	XP_029650766.2	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Pcan	XP_025111540.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pcor	DN165632.c0.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pcor	DN115233.c0.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pmar	DN28033.c0.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pmax	XP_033738864.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Pstr	KAK3603675.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pvir	s00097g235	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pyes	XP_021368788.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Rphi	XP_060589226.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Sbro	EVM0001645.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Scon	Chr8.1365	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Tgra	KAJ8306274.1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Tsqu	DN51730.c0.g1.i1.p1	Dmrt	Dmrt-2	Doublesex_DNA-binding_motif_(214606)	N/A	-
Acal	XP_005096932.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Airc	Contig349.40	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Amar	Ama12564	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Apur	scaffold.95.76	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Bgla	XP_013077145.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Cang	XP_052687934.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Cari	EVM0028466.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Cgig	XP_011427033.2	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Cpli	DN37429.c0.g2.i1.p1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	N/A	-
Csin	Hic.asm.11.1174	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Cvir	XP_022317913.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Dpol	XP_052246678.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Gaeg	XP_041357684.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Hbia	M00000034631	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Hruf	XP_046367747.2	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Mare	XP_052777877.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Mcal	XP_052076466.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Mcor	CAC5360634.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Medu	CAG2226664.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Mgal	VDI32052.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Mmar	MMAM00000039146	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mmer	XP_045157038.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Mner	g243052.t1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mphi	scaf.42165.0.7	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Oedu	XP_048761857.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Pcan	XP_025110327.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Pcor	DN33000.c0.g1.i1.p1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Pmax	XP_033737545.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Pvir	s00097g272	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Pyes	XP_021377273.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Rphi	XP_060576862.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Sbro	EVM0006488.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Scon	Chr8.2435	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Sglo	Sgl014397	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602,_270600)	-
Tgra	KAJ8305800.1	Dmrt	Dmrt-3	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Acal	XP_005096931.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Airc	Contig349.42	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Amar	Ama12441	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601)	-
Amar	Ama12902	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Apec	DN10969.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Apur	scaffold.95.77	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Bgla	XP_013089804.2	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Cang	XP_052685010.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Cari	EVM0008623.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Cgig	NP_001295834.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Cpli	DN67594.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Cpli	DN55944.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Cpli	DN54583.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Cpli	DN9274.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Cpli	DN67594.c0.g2.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270600,_270601)	-
Csin	Hic.asm.11.400	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Csin	Hic.asm.11.338	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Cvir	XP_022319926.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Dpol	XP_052255215.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Dpol	XP_052224782.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Dpol	XP_052257495.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Gaeg	XP_041357898.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Hbia	M00000038945	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Hbia	M00000038948	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Hbia	M00000038946	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Hbia	M00000019813	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Hbia	M00000038947	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270600,_270601)	-
Hruf	XP_046367734.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Lorb	DN147341.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Lorb	DN40542.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mare	XP_052776891.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270600,_270601,_270602)	-
Mare	XP_052774906.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601)	-
Mare	XP_052776885.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270600,_270601,_270602)	-
Mcal	XP_052092340.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mchi	DN35166.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mcor	CAC5398878.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Medu	CAG2209978.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mgal	VDI24477.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mmar	MMAM00000040448	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mmar	MMAM00000008515	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mmar	MMAM00000016566	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mmar	MMAM00000047004	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mmar	MMAM00000044361	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mmer	XP_045157593.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mmer	XP_045157053.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mmer	XP_045159713.2	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mmod	DN116828.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mner	g34603.t1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mner	g58531.t1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mner	g241174.t1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Mner	g192820.t1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Mphi	scaf.68796.0.3	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Oedu	XP_048763391.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Pcan	XP_025110328.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pcor	DN12587.c0.g3.i3.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pcor	DN12587.c0.g2.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Pcor	DN1623.c0.g1.i3.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601)	-
Pcor	DN12587.c0.g1.i4.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Pgen	DN68344.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Pgen	DN35556.c0.g1.i2.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Pmax	XP_033737544.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Poku	DN35178.c0.g1.i2.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Pstr	KAK3612677.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Pstr	KAK3583105.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Pstr	KAK3583112.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Pstr	KAK3583110.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Pstr	KAK3583109.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Pvir	s00733g2	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Pyes	XP_021377274.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Rdec	DN26973.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Rphi	XP_060600638.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Rphi	XP_060600746.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Rphi	XP_060578674.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Sbro	EVM0004355.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Sbro	EVM0021940.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Scon	Chr8.1999	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Scon	Chr8.2143	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Sglo	Sgl006992	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602,_270465)	-
Sgra	DN54078.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600)	-
Sgra	DN6659.c0.g1.i3.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Tgra	KAJ8305799.1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	N/A	-
Tsqu	DN75749.c0.g1.i1.p1	Dmrt	Dmrt-4/5	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270600,_270602)	-
Apec	DN8372.c0.g4.i1.p1	Dmrt	N/A	Doublesex_DNA-binding_motif_(214606)	N/A	-
Mchi	DN34711.c0.g1.i2.p1	Dmrt	N/A	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553)	-
Scon	Chr8.738	Dmrt	N/A	Doublesex_DNA-binding_motif_(214606)	CUE-like_DMA_domain_(270553,_270601,_270602)	-
Acal	XP_005097243.2	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Airc	Contig6.157	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Amar	Ama08751	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
