DMRT_GENE_FAMILY	DMRT_GENE_FAMILY	DMRT_GENE_FAMILY	DMRT_GENE_FAMILY		
FOXD1/FREAC4_(NP_004463.1)	fd59A/fd3_(NP_523814.1)	unc-130_(NP_496411.1)	D
FOXD2/FREAC9_(NP_004465.3)	-	-	
FOXD3_(NP_036315.1)	-	-	
FOXD4_(NP_997188.2)	-	-	
FOXE1/TITF2_(NP_004464.2)	-	-	E
FOXE3_(NP_036318.1)	-	-	
FOXF1_(NP_001442.2)	binious/FoxF_(NP_523950.2)	let-381/F26B1.7_(NP_491826.1)	F
FOXF2_(NP_001443.1)	-	-	
FOXG1/BF1/HBF2_(NP_005240.3)	slp1_(NP_476730.1)	fkh2/T14G12.4_(NP_508644.1)	G
-	slp2_(NP_476834.1)	-	
-	fd19B/cg9571_(NP_608369.1)	-	
FOXH1/FAST1_(NP_003914.1)	-	-	H
FOXI1/FREAC6/HFH3_(NP_036320.2)	-	-	I
FOXJ1_(NP_001445.2)	-	-	J1
FOXJ2_(XP_011519063.1)	-	-	J2
FOXJ3_(XP_005270689.1)	-	-	J3
FOXK1/ILF1_(NP_001032242.1)	foxK/LD16137_(NP_001261701.1)	-	K
FOXK2_(NP_004505.2)	-	-	
FOXL1_(NP_005241.1)	foxL1/fd2_(NP_523912.1)	-	L1
FOXL2_(NP_075555.1)	-	-	L2
FOXM1_(NP_001400854.1)	-	-	M
FOXN1/WHN_(NP_001356298.1)	jumeau_(NP_524302.1)	-	N1/4
FOXN4_(NP_998761.2)	-	-	
FOXN2/HTLF_(NP_001362376.1)	ches-1_(NP_511071.3)	-	N2/3
FOXN3/CHES1_(NP_001078940.1)	-	-	
FOXO1_(NP_002006.2)	-	daf-16_(NP_001364785.1)	O
FOXO3_(NP_963853.1)	-	-	
FOXO3B_(NP_001355064.1)	-	-	
FOXP1_(NP_001231739.1)	foxP/cg16899_(NP_001247011.1)	F26D12.1_(NP_001293813.1)	P
FOXP2_(NP_683696.2)	-	-	
FOXP3_(NP_054728.2)	-	-	
FOXP4_(XP_011512591.1)	-	-	
FOXQ/HFH11_(NP_150285.3)	-	-	Q1
-	fd102C/cd11152_(NP_651951.1)	fkh-10/C25A1.2_(NP_492676.2)	Q2
FOXS1/FREAC10_(NP_004109.1)	-	-	S
-	-	PES-1_(NP_001023406.1)	-
-	-	B0286.5/FKH-6_(NP_494775.1)	-
-	-	F40H3.4/FKH-8_(NP_001254107.1)	-
-	-	C29F7.4/FKH-3_(NP_001294822.1)	-
-	-	K03C7.2/FKH-9_(NP_001024760.1)	-
